"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Nacionalitat","Nombre"
2021,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dones","Rússia",77
2021,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dones","Rússia",52
2021,6,"Gràcia",28,"Vallcarca i els Penitents","Dones","Rússia",39
2021,6,"Gràcia",29,"el Coll","Dones","Rússia",85
2021,6,"Gràcia",30,"la Salut","Dones","Rússia",14
2021,6,"Gràcia",31,"la Vila de Gràcia","Dones","Rússia",94
2021,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dones","Rússia",31
2021,7,"Horta-Guinardó",33,"el Baix Guinardó","Dones","Rússia",24
2021,7,"Horta-Guinardó",34,"Can Baró","Dones","Rússia",154
2021,7,"Horta-Guinardó",35,"el Guinardó","Dones","Rússia",6
2021,7,"Horta-Guinardó",36,"la Font d'en Fargues","Dones","Rússia",16
2021,7,"Horta-Guinardó",37,"el Carmel","Dones","Rússia",1
2021,7,"Horta-Guinardó",38,"la Teixonera","Dones","Rússia",48
2021,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Dones","Rússia",47
2021,7,"Horta-Guinardó",40,"Montbau","Dones","Rússia",86
2021,7,"Horta-Guinardó",41,"la Vall d'Hebron","Dones","Rússia",44
2021,7,"Horta-Guinardó",42,"la Clota","Dones","Rússia",4
2021,7,"Horta-Guinardó",43,"Horta","Dones","Rússia",17
2021,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Dones","Rússia",9
2021,8,"Nou Barris",45,"Porta","Dones","Rússia",102
2021,8,"Nou Barris",46,"el Turó de la Peira","Dones","Rússia",44
2021,8,"Nou Barris",47,"Can Peguera","Dones","Rússia",29
2021,8,"Nou Barris",48,"la Guineueta","Dones","Rússia",44
2021,8,"Nou Barris",49,"Canyelles","Dones","Rússia",21
2021,8,"Nou Barris",50,"les Roquetes","Dones","Rússia",2
2021,8,"Nou Barris",51,"Verdun","Dones","Rússia",49
2021,8,"Nou Barris",52,"la Prosperitat","Dones","Rússia",10
2021,8,"Nou Barris",53,"la Trinitat Nova","Dones","Rússia",30
2021,8,"Nou Barris",54,"Torre Baró","Dones","Rússia",10
2021,8,"Nou Barris",55,"Ciutat Meridiana","Dones","Rússia",32
2021,8,"Nou Barris",56,"Vallbona","Dones","Rússia",179
2021,9,"Sant Andreu",57,"la Trinitat Vella","Dones","Rússia",77
2021,9,"Sant Andreu",58,"Baró de Viver","Dones","Rússia",90
2021,9,"Sant Andreu",59,"el Bon Pastor","Dones","Rússia",38
